?triplestore    						?dataset    ?startDate      														?numberOfQueryMixes     						?pAvgQPS        		?QMPH   				?resultSizeQ0
"dicegroup/tentris_server:1.1.0"        "swdf"  	"2022-05-23T21:49:36.874Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1425.833170852536e0     822.0383648811788e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7"        "swdf"  	"2022-05-23T21:59:14.552Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1382.8507579261325e0    708.9320376472011e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc5"    "swdf"  	"2022-05-23T22:02:45.906Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1526.8198659383547e0    729.2187502071919e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc15"   "swdf"  	"2022-05-23T22:06:21.789Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1434.8210748853621e0    817.9953147295203e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc4"    "swdf"  	"2022-05-23T22:09:30.403Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1525.6559265767223e0    728.6317771317389e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc14"   "swdf"  	"2022-05-23T22:12:52.981Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1508.883632786252e0     830.2481317753417e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc3"    "swdf"  	"2022-05-23T22:16:14.356Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1296.3068542236015e0    950.495132855737e0      "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc13"   "swdf"  	"2022-05-23T22:19:05.589Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1311.4736249245843e0    1112.3244286013444e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc2"    "swdf"  	"2022-05-23T22:21:39.359Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1474.1900317066688e0    956.8186204761101e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc12"   "swdf"  	"2022-05-23T22:24:28.261Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1416.1260992195207e0    1123.8312625473823e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc1"    "swdf"  	"2022-05-23T22:27:09.147Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1314.3427287894308e0    968.4076498549828e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc11"   "swdf"  	"2022-05-23T22:29:54.81Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>  "30"^^<http://www.w3.org/2001/XMLSchema#long>   1236.3503439969165e0    1092.708985918998e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.6"        "swdf"  	"2022-05-23T22:32:32.974Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1038.0850931637347e0    627.1706634134616e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.5.1"      "swdf"  	"2022-05-23T22:36:33.904Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1010.1344269694425e0    329.72387287583217e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.5"        "swdf"  	"2022-05-23T22:42:55.735Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   988.272394441017e0      329.73767424411875e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.3"        "swdf"  	"2022-05-23T22:49:31.474Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1041.0882559564589e0    339.8602093457489e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:dev"  		"swdf"  	"2022-05-24T09:07:59.052Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1520.7082935490125e0    832.0214086208365e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>

"oxigraph/oxigraph:latest"    		  	"swdf"  	"2022-05-23T20:30:53.345Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1991.8279708535204e0    310.60811373802414e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.2"      		"swdf"  	"2022-05-23T20:37:57.393Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1987.9254835102245e0    315.33968205117685e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.1"      		"swdf"  	"2022-05-23T20:44:55.772Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   2029.9559581815977e0    316.2654450652533e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0"      		"swdf"  	"2022-05-23T20:52:00.616Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   2075.337927713848e0     299.88904323486304e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-rc.1" 		"swdf"  	"2022-05-23T20:59:25.164Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1987.3298431654603e0    311.2590558981346e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.4"       "swdf"  	"2022-05-23T21:06:37.76Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>  "30"^^<http://www.w3.org/2001/XMLSchema#long>   1961.4859565668896e0    317.6372723696531e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.3"       "swdf"  	"2022-05-23T21:13:32.134Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   1989.9187238668494e0    312.9859592117835e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.2"       "swdf"  	"2022-05-23T21:20:30.188Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   2019.8058859224802e0    318.14923218818404e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.1"       "swdf"  	"2022-05-23T21:27:28.038Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>   2029.4379347868596e0    307.42803959518443e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>


?triplestore    						?dataset	?startDate      														?endDate        														?numberOfQueryMixes     						 ?pAvgQPS        ?QMPH   ?resultSizeQ0
"oxigraph/oxigraph:latest"      		"swdf"  	"2022-05-23T20:30:53.345Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T20:36:44.858Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1991.8279708535204e0    310.60811373802414e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.2"      		"swdf"  	"2022-05-23T20:37:57.393Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T20:43:43.61Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>  "30"^^<http://www.w3.org/2001/XMLSchema#long>    1987.9254835102245e0    315.33968205117685e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.1"      		"swdf"  	"2022-05-23T20:44:55.772Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T20:50:40.999Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    2029.9559581815977e0    316.2654450652533e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0"      		"swdf"  	"2022-05-23T20:52:00.616Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T20:58:04.48Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>  "30"^^<http://www.w3.org/2001/XMLSchema#long>    2075.337927713848e0     299.88904323486304e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-rc.1" 		"swdf"  	"2022-05-23T20:59:25.164Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T21:05:15.907Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1987.3298431654603e0    311.2590558981346e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.4"       "swdf"  	"2022-05-23T21:06:37.76Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>  "2022-05-23T21:12:21.574Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1961.4859565668896e0    317.6372723696531e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.3"       "swdf"  	"2022-05-23T21:13:32.134Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T21:19:21.068Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1989.9187238668494e0    312.9859592117835e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.2"       "swdf"  	"2022-05-23T21:20:30.188Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T21:26:13.513Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    2019.8058859224802e0    318.14923218818404e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:v0.3.0-beta.1"       "swdf"  	"2022-05-23T21:27:28.038Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T21:33:23.166Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    2029.4379347868596e0    307.42803959518443e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>

"dicegroup/tentris_server:1.1.0"        "swdf"  	"2022-05-23T21:49:36.874Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T21:51:52.026Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1425.833170852536e0     822.0383648811788e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7"        "swdf"  	"2022-05-23T21:59:14.552Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:01:50.689Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1382.8507579261325e0    708.9320376472011e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc5"    "swdf"  	"2022-05-23T22:02:45.906Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:05:17.741Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1526.8198659383547e0    729.2187502071919e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc15"   "swdf"  	"2022-05-23T22:06:21.789Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:08:37.624Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1434.8210748853621e0    817.9953147295203e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc4"    "swdf"  	"2022-05-23T22:09:30.403Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:12:02.345Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1525.6559265767223e0    728.6317771317389e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc14"   "swdf"  	"2022-05-23T22:12:52.981Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:15:06.903Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1508.883632786252e0     830.2481317753417e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc3"    "swdf"  	"2022-05-23T22:16:14.356Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:18:11.749Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1296.3068542236015e0    950.495132855737e0      "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc13"   "swdf"  	"2022-05-23T22:19:05.589Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:20:46.461Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1311.4736249245843e0    1112.3244286013444e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc2"    "swdf"  	"2022-05-23T22:21:39.359Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:23:35.977Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1474.1900317066688e0    956.8186204761101e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.1.0-rc12"   "swdf"  	"2022-05-23T22:24:28.261Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:26:08.156Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1416.1260992195207e0    1123.8312625473823e0    "304592"^^<http://www.w3.org/2001/XMLSchema#long>
"dicegroup/tentris_server:1.0.7-rc1"    "swdf"  	"2022-05-23T22:27:09.147Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "2022-05-23T22:29:04.468Z"^^<http://www.w3.org/2001/XMLSchema#dateTime> "30"^^<http://www.w3.org/2001/XMLSchema#long>    1314.3427287894308e0    968.4076498549828e0     "304592"^^<http://www.w3.org/2001/XMLSchema#long>
