?triplestore	?eq	?qps	?resSize
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql139>	3162.0470038287117e0	"4"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql185>	3688.8576456308742e0	"1"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql97>	2581.6367318716393e0	"9"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql107>	3201.106302338088e0	"8"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql19>	31.70409846278451e0	"4978"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql153>	2362.4221788604004e0	"2"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql65>	40.7628542620686e0	"18"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql33>	53.03008477668644e0	"411"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql121>	2953.039001967314e0	"7"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql198>	2850.678874920669e0	"1"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql166>	3432.4216249427204e0	"1"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql78>	2500.9716274772745e0	"15"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql134>	3126.3058840203043e0	"4"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql46>	1345.8467774080239e0	"55"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql180>	3705.136814029426e0	"1"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql92>	1754.9883056354251e0	"11"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql102>	1286.9306742028182e0	"9"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql14>	24.406215488594373e0	"11114"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql60>	2230.4263913567115e0	"19"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql7>	10.350587959663237e0	"16073"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql179>	3760.098213765344e0	"1"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql147>	3039.0037902455274e0	"2"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql59>	2253.7227555907534e0	"20"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql193>	496.9737117140977e0	"1"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql115>	3389.497303654895e0	"8"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql27>	92.67157022217427e0	"2486"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql161>	3000.83093008454e0	"2"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql73>	2367.320746867601e0	"16"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql41>	327.5282374102841e0	"86"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql2>	0.7629348475492426e0	"218785"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql128>	2923.629249117478e0	"5"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql174>	3646.433538826069e0	"1"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql86>	2534.2936391426047e0	"14"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql142>	1597.374767814922e0	"4"^^<http://www.w3.org/2001/XMLSchema#long>
"oxigraph/oxigraph:latest"	<http://iguana-benchmark.eu/resource/1653337835/1/1/sparql54>	1734.2298530904986e0	"27"^^<http://www.w3.org/2001/XMLSchema#long>
