triplestore; version;    	startDate;    			  endDate;					pAvgQPS;        		QMPH   				
tentris;     1.1.0     ; 	2022-05-23T21:49:36.874Z; 2022-05-23T21:51:52.026Z; 1425.833170852536e0 ;   822.0383648811788e0 
tentris;     1.0.7     ; 	2022-05-23T21:59:14.552Z; 2022-05-23T22:01:50.689Z; 1382.8507579261325e0;   708.9320376472011e0 
tentris;     1.0.7-rc5 ; 	2022-05-23T22:02:45.906Z; 2022-05-23T22:05:17.741Z; 1526.8198659383547e0;   729.2187502071919e0 
tentris;     1.1.0-rc15; 	2022-05-23T22:06:21.789Z; 2022-05-23T22:08:37.624Z; 1434.8210748853621e0;   817.9953147295203e0 
tentris;     1.0.7-rc4 ; 	2022-05-23T22:09:30.403Z; 2022-05-23T22:12:02.345Z; 1525.6559265767223e0;   728.6317771317389e0 
tentris;     1.1.0-rc14; 	2022-05-23T22:12:52.981Z; 2022-05-23T22:15:06.903Z; 1508.883632786252e0 ;   830.2481317753417e0 
tentris;     1.0.7-rc3 ; 	2022-05-23T22:16:14.356Z; 2022-05-23T22:18:11.749Z; 1296.3068542236015e0;   950.495132855737e0  
tentris;     1.1.0-rc13; 	2022-05-23T22:19:05.589Z; 2022-05-23T22:20:46.461Z; 1311.4736249245843e0;   1112.3244286013444e0
tentris;     1.0.7-rc2 ; 	2022-05-23T22:21:39.359Z; 2022-05-23T22:23:35.977Z; 1474.1900317066688e0;   956.8186204761101e0 
tentris;     1.1.0-rc12; 	2022-05-23T22:24:28.261Z; 2022-05-23T22:26:08.156Z; 1416.1260992195207e0;   1123.8312625473823e0
tentris;     1.0.7-rc1 ; 	2022-05-23T22:27:09.147Z; 2022-05-23T22:29:04.468Z; 1314.3427287894308e0;   968.4076498549828e0 
tentris;     1.1.0-rc11; 	2022-05-23T22:29:54.81Z ; 2022-05-23T22:31:37.412Z; 1236.3503439969165e0;   1092.708985918998e0 
tentris;     1.0.6     ; 	2022-05-23T22:32:32.974Z; 2022-05-23T22:35:29.001Z; 1038.0850931637347e0;   627.1706634134616e0 
tentris;     1.0.5.1   ; 	2022-05-23T22:36:33.904Z; 2022-05-23T22:42:05.194Z; 1010.1344269694425e0;   329.72387287583217e0
tentris;     1.0.5     ; 	2022-05-23T22:42:55.735Z; 2022-05-23T22:48:27.119Z; 988.272394441017e0  ;   329.73767424411875e0
tentris;     1.0.3     ; 	2022-05-23T22:49:31.474Z; 2022-05-23T22:54:53.052Z; 1041.0882559564589e0;   339.8602093457489e0 
tentris;     dev  	   ; 	2022-05-24T09:07:59.052Z; 2022-05-24T09:10:12.702Z; 1520.7082935490125e0;   832.0214086208365e0 
oxigraph;    latest    	  ; 2022-05-23T20:30:53.345Z; 2022-05-23T20:36:44.858Z; 1991.8279708535204e0;   310.60811373802414e0
oxigraph;    v0.3.2       ;	2022-05-23T20:37:57.393Z; 2022-05-23T20:43:43.61Z ; 1987.9254835102245e0;   315.33968205117685e0
oxigraph;    v0.3.1       ;	2022-05-23T20:44:55.772Z; 2022-05-23T20:50:40.999Z; 2029.9559581815977e0;   316.2654450652533e0 
oxigraph;    v0.3.0       ;	2022-05-23T20:52:00.616Z; 2022-05-23T20:58:04.48Z ; 2075.337927713848e0 ;   299.88904323486304e0
oxigraph;    v0.3.0-rc.1  ;	2022-05-23T20:59:25.164Z; 2022-05-23T21:05:15.907Z; 1987.3298431654603e0;   311.2590558981346e0 
oxigraph;    v0.3.0-beta.4; 2022-05-23T21:06:37.76Z ; 2022-05-23T21:12:21.574Z; 1961.4859565668896e0;   317.6372723696531e0 
oxigraph;    v0.3.0-beta.3; 2022-05-23T21:13:32.134Z; 2022-05-23T21:19:21.068Z; 1989.9187238668494e0;   312.9859592117835e0 
oxigraph;    v0.3.0-beta.2; 2022-05-23T21:20:30.188Z; 2022-05-23T21:26:13.513Z; 2019.8058859224802e0;   318.14923218818404e0
oxigraph;    v0.3.0-beta.1; 2022-05-23T21:27:28.038Z; 2022-05-23T21:33:23.166Z; 2029.4379347868596e0;   307.42803959518443e0
